,单词,后缀,单词释义
26,acquisition,ition 表名词， 行为过程，状态,"n.获得,获得物"
27,action,ion 表名词， 动作或状态 分为 sion和tion两种,"n.动作,作用,战斗,行动,情节,(最能产生效果,最有趣,最有刺激性的活动);vt.对...起诉"
28,activate,ate 表动词， 做，造成,"vt.刺激,使活动;vi.有活力"
29,activity,ivity 表名词，由ive+ity 组成， 有...能力或特性,"n.活跃,活动性,行动,行为,[核]放射性"
30,addition,ition 表名词， 行为过程，状态,"n.加,加起来,增加物,增加,加法"
31,additional,al 表名词， 人，物，状态,"adj.另外的,附加的,额外的"
32,adjacent,ent 表形容词， ...的,"adj.邻近的,接近的"
33,administration,ation 表名词， 行为，过程，结果,"n.管理,经营,行政部门"
34,admission,ion 表名词， 动作或状态 分为 sion和tion两种,"n.允许进入,承认某事之陈述,供认"
35,admit,it 表名词，通常是抽象名词,"v.容许,承认,接纳"
36,advantage,"age 名词后缀,表示 状态，总称","n.优势,有利条件,利益"
37,advertise,ise 表动词后缀，和 ize 相同，是 ize 的变体， ...化,"v.做广告,登广告"
38,advertisement,ent 表形容词， ...的,"n.广告,做广告"
39,advocate,ate 表形容词， 具有...的,"n.提倡者,鼓吹者;vt.提倡,鼓吹"
40,aerial,ial 表形容词， 有...的,"adj.航空的,生活在空气中的,空气的,高耸的;n.天线"
41,aesthetic,etic 表形容词， 属于...的,"adj.美学的,审美的,有审美感的"
42,affection,ion 表名词， 动作或状态 分为 sion和tion两种,"n.友爱,爱情,影响,疾病,倾向"
43,affiliate,ate 表动词， 做，造成,"v.(使...)加入,接受为会员"
44,afterward,ward 表形容词+副词， 向...,"adv.然后,后来"
45,agency,"cy 表名词，也作acy, 性质，状态","n.代理处,行销处,代理,中介"
46,agent,ent 表形容词， ...的,n.代理(商)
47,aggravate,ate 表动词， 做，造成,"vt.使恶化,加重"
48,aggressive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
49,agony,y 表名词，加在形容词或以r结尾的单词后。,"n.苦恼,极大的痛苦"
50,agriculture,ture ture在s结尾的词根后变成sure,"n.农业,农艺,农学"
51,aid,id 表形容词， 如...的,"n.帮助,援助,帮助者,有帮助的事物;vt.资助,援助,帮助"
52,airline,ine 表形容词， ...的,n.定期航线
53,alien,en 表动词， 变成,"n.外侨;adj.外国的,相异的,不同,背道而驰"
54,alike,like 表形容词， 像...一样,"adj.相同的,相似的;adv.以同样的方式,类似于"
55,alleviate,ate 表形容词， 具有...的,"vt.使(痛苦等)易于忍受,减轻"
56,allocate,ate 表形容词， 具有...的,"vt.分派,分配"
57,allowance,ance 表名词， 性质，状况,"n.津贴,补助,宽容,允许;vt.定量供应"
58,alloy,y 表名词，加在形容词或以r结尾的单词后。,"n.合金;vt.使成合金,减低成色"
59,ally,y 表名词， 人或小东西 常带有嬉谑性和爱称。,"v.结盟,与...(在血统,性质等上)有关联,同盟;n.同盟国,支持者"
60,alphabet,et 表示 小,n.字母表
61,alternate,ate 表形容词， 具有...的,"adj.交替的,轮流的,预备的;v.交替,轮流,改变"
62,alternative,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","n.二中择一,可供选择的办法,事物;adj.选择性的,二中择一的"
63,amateur,eur 表名词， ...人,"n.业余爱好者,业余艺术家"
64,ambassador,or 表名词， 人或物器 ，在一些词根前写成 ator,n.大使
65,ambition,ition 表名词， 行为过程，状态,"n.野心,雄心"
66,ambitious,"ious 表形容词, ....的","adj.有雄心的,野心勃勃的"
67,ambulance,ance 表名词， 性质，状况,"n.战时流动医院,救护车"
68,amid,id 表形容词， 如...的,prep.在...中
69,amplify,"fy 表动词, ...化，成为... ，更多时候作 ify","vt.放大,增强;v.扩大"
70,analogy,y 表名词，加在形容词或以r结尾的单词后。,"n.类似,类推"
71,ancestor,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.祖先,祖宗"
72,ancient,ent 表形容词， ...的,"adj.远古的,旧的"
73,anniversary,ary 表名词， 人，场所，物,n.周年纪念
74,annoy,y 表名词，加在形容词或以r结尾的单词后。,"vt.使苦恼,骚扰"
75,anonymous,ous 表形容词，通常放在一个完整的单词后，表示 ...的,adj.匿名的
76,anticipate,ate 表动词， 做，造成,"vt.预期,期望,过早使用,先人一着,占先;v.预订,预见,可以预料"
77,anxiety,ety 表名词， 状态,"n.忧虑,焦急,渴望,热望"
78,anxious,ous 表形容词，通常放在一个完整的单词后，表示 ...的,"adj.观念的,担忧的,渴望的,盼望的"
79,anyway,y 表名词，加在形容词或以r结尾的单词后。,"adv.无论如何,总之"
80,apartment,ment 表名词， 行为或结果,"n.<美>公寓住宅,单元住宅,房间"
81,apologize,ize 构成一些动词,"vi.(apologise)道歉,辩白"
82,apology,y 表名词，加在形容词或以r结尾的单词后。,"n.(为某种思想,宗教,哲学等)辩解,道歉"
83,apparent,ent 表形容词， ...的,"adj.显然的,外观上的"
84,appeal,al 表名词， 人，物，状态,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
85,appetite,ite 表形容词， 有...的,"n.食欲,胃口,欲望,爱好"
86,appliance,ance 表名词， 性质，状况,"n.用具,器具"
87,applicant,ant 表形容词， ...的,"n.申请者,请求者"
88,application,on 表名词，指人、物和一些物理学上的名词,"n.请求,申请,申请表,应用,运用,施用,敷用,应用,应用程序,应用软件"
89,apply,ly 表形容词，通常加在名词后。,"vt.申请,应用;vi.申请,适用"
90,appointment,ment 表名词， 行为或结果,"n.约会,指定"
91,appraisal,al 表名词， 人，物，状态,"n.评价,估价(尤指估价财产,以便征税),鉴定"
92,appropriate,ate 表形容词， 具有...的,adj.适当的
93,approval,al 表名词， 人，物，状态,"n.赞成,承认,正式批准"
94,approximate,ate 表形容词， 具有...的,"adj.近似的,大约的;v.近似,接近,接近,约计"
95,arbitrary,ary 表名词， 人，场所，物,"adj.任意的,武断的,独裁的,专断的"
96,architecture,ture ture在s结尾的词根后变成sure,"n.建筑,建筑学,体系机构"
97,argument,ment 表名词， 行为或结果,"n.争论,辩论,论据,论点,～(for,against),意见"
98,arise,ise 表动词后缀，和 ize 相同，是 ize 的变体， ...化,"vi.出现,发生,起因于"
99,arithmetic,tic 表形容词，通常放在一个名词前， 与...相关的，...的,"n.算术,算法"
100,armor,or 表名词， 人或物器 ，在一些词根前写成 ator,n.装甲
101,arrangement,ment 表名词， 行为或结果,"n.排列,安排"
102,array,y 表名词，加在形容词或以r结尾的单词后。,"n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列"
103,arrival,al 表名词， 人，物，状态,"n.到来,到达,到达者"
104,artery,ery 表名词， 场所，地点,"n.动脉,要道"
105,articulate,ate 表动词， 做，造成,"adj.有关节的,发音清晰的;vt.用关节连接,接合,清晰明白地说"
106,artificial,al 表名词， 人，物，状态,"adj.人造的,假的,非原产地的"
107,artillery,ry 表示集合名词,"n.炮的总称,炮兵的总称"
108,ascertain,ain 表名词， ...人,"vt.确定,探知"
109,aspiration,ation 表名词， 行为，过程，结果,"n.热望,渴望"
110,assassination,ion 表名词， 动作或状态 分为 sion和tion两种,n.暗杀
111,assembly,ly 表形容词，通常加在名词后。,"n.集合,装配,集会,集结,汇编"
112,assess,ess 表名词， 女性，雌性,"vt.估定,评定"
113,asset,et 表示 小,"n.资产,有用的东西"
114,assignment,ment 表名词， 行为或结果,"n.分配,委派,任务,(课外)作业"
115,assimilate,ate 表形容词， 具有...的,v.吸收
116,assist,ist 表名词， 表示信仰者，专家或从事人,"v.援助,帮助"
117,assistant,ant 表形容词， ...的,"n.助手,助教;adj.辅助的,助理的"
118,associate,ate 表动词， 做，造成,"vt.使发生联系,使联合;vi.交往,结交;n.合作人,同事;adj.副的"
119,association,on 表名词，指人、物和一些物理学上的名词,"n.协会,联合,结交,联想"
120,assumption,ion 表名词， 动作或状态 分为 sion和tion两种,"n.假定,设想,担任,承当,假装,作态"
121,astonish,ish 表形容词， 象...一样，有的... ，通常放在一具体名词后,vt.使惊讶
122,atomic,"ic 表形容词, ....的 ，有时作tic","adj.原子的,原子能的,微粒子的"
123,attain,ain 表名词， ...人,"vt.达到,获得;v.达到"
124,attendant,ant 表形容词， ...的,n.服务员
125,attorney,y 表名词，加在形容词或以r结尾的单词后。,"n.<美>律师,(业务或法律事务上的)代理人"
126,attraction,ion 表名词， 动作或状态 分为 sion和tion两种,"n.吸引,吸引力,吸引人的事物"
127,attractive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.吸引人的,有魅力的"
128,auction,ion 表名词， 动作或状态 分为 sion和tion两种,n.拍卖;vt.拍卖
129,audio,o 表名词，用于音乐术语,"adj.音频的,声频的,声音的"
130,author,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.作家,创造者"
131,authority,ity 表名词，指具备某种性质,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
132,authorize,ize 构成一些动词,v.批准
133,auto,o 表名词，用于音乐术语,n.<美口>汽车
134,automobile,ile 表形容词， ...的,"n.<主美>汽车(=<英>motorcar,car)"
135,autonomous,ous 表形容词，通常放在一个完整的单词后，表示 ...的,adj.自治的
136,autonomy,y 表名词，加在形容词或以r结尾的单词后。,n.自治
137,auxiliary,y 表名词， 人或小东西 常带有嬉谑性和爱称。,"adj.辅助的,补助的"
138,available,able 表形容词， 可...的，能...,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
139,average,"age 名词后缀,表示 状态，总称","n.平均,平均水平,平均数,海损;adj.一般的,通常的,平均的;vt.平均为,均分,使平衡,达到平均水平;vi.买进,卖出"
140,aviation,ation 表名词， 行为，过程，结果,"n.飞行,航空,航空学,航空术"
141,avoid,id 表形容词， 如...的,"vt.避免,消除"
142,award,ward 表形容词+副词， 向...,"n.奖,奖品;vt.授予,判给"
143,awful,"ful 表形容词, 有...的","adj.可怕的,威严的,<口>极度的,糟糕的"
144,bachelor,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.单身汉,文理学士,幼雄兽"
145,backward,ward 表形容词+副词， 向...,"adv.adj.向后地(的),相反地(的),追溯,退步,由好变坏"
146,bacon,on 表名词，指人、物和一些物理学上的名词,"n.咸肉,熏肉"
147,bacteria,"ia 表名词, 总称，状态",n.细菌
148,baggage,"age 名词后缀,表示 状态，总称","n.行李,[军]辎重"
149,balance,ance 表名词， 性质，状况,"n.秤,天平,平衡,[商]收支差额,结余,余额;v.平衡,称,权衡,对比,结算;n.资产平稳表"
150,balcony,y 表名词，加在形容词或以r结尾的单词后。,"n.阳台,包厢,(戏院)楼厅"
151,balloon,oon 表名词， 人或物,n.气球
152,bamboo,o 表名词，用于音乐术语,n.竹子
153,bandage,"age 名词后缀,表示 状态，总称",n.绷带
154,banner,er 表动词， 反复做,"n.旗帜,横幅,标语;"
155,banquet,et 表示 小,n.宴会
156,barely,ly 表形容词，通常加在名词后。,"adv.仅仅,刚刚,几乎不能"
157,barrel,el 表名词， 人或物,n.桶;vt.装入桶内
158,barren,en 表动词， 变成,"adj.不生育的,不孕的,贫瘠的,没有结果的,无益的,单调的,无聊的,空洞的;n.荒地"
159,barrier,ier 表名词， 人或物,"n.(阻碍通道的)障碍物,栅栏,屏障"
160,basically,ally 表副词，由al+ly 构成， ...地,"adv.基本上,主要地"
161,batter,er 表动词， 反复做,"n.击球手;v.打坏,猛击"
162,battery,y 表名词，加在形容词或以r结尾的单词后。,"n.电池,殴打"
163,bay,y 表名词， 人或小东西 常带有嬉谑性和爱称。,"n.海湾,狗吠声,绝路;vt.吠,使走投无路;vi.吠"
164,bean,an 表名词和形容词， ...地方，...人,"n.豆,豆形果实"
165,bearing,ing 表形容词， 正...的 ， 令人...的,"n.轴承,关系,方面,意义,方向,方位"
166,beast,ast 表名词， ...人，物,"n.兽,畜牲,人面兽心的人"
167,beggar,ar 表形容词， ...的,n.乞丐
168,behavior,ior 表形容词， 较...的,"n.举止,行为"
169,belly,ly 表形容词，通常加在名词后。,"n.腹部,胃;vi.涨满"
170,beneath,th 表名词，通常指抽象名词,adv.在...之下;prep.在...之下
171,beneficial,al 表形容词， ...的,"adj.有益的,受益的,[法律]有使用权的;adj.有益的,得利的,[律]有使用权的"
172,bet,et 表示 小,"n.赌,打赌;v.赌,赌钱"
173,betray,y 表名词，加在形容词或以r结尾的单词后。,"vt.出卖,背叛,泄露(秘密),露出...迹象"
174,Bible,ible 形容词 能...的,n.《圣经》
175,bibliography,y 表名词，加在形容词或以r结尾的单词后。,"n.(有关一个题目或一个人的)书目,参考书目"
176,billion,ion 表名词， 动作或状态 分为 sion和tion两种,n.&adj.十亿(的)
177,biography,y 表名词，加在形容词或以r结尾的单词后。,n.传记
178,biology,y 表名词， 人或小东西 常带有嬉谑性和爱称。,"n.生物学,生物(总称)"
179,blade,"ade 表名词, 表示 状态，物品","n.刀刃,刀片"
180,blanket,et 表示 小,n.毯子;vt.覆盖
181,bloody,y 表名词，加在形容词或以r结尾的单词后。,"adj.血腥的,嗜杀的,有血的,<英鄙>该死的,非常的"
182,blunder,er 表动词， 反复做,"v.跌跌撞撞地走,犯大错,做错;n.大错,失误"
183,board,ard 表名词， 不好的人,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部;vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
184,boast,ast 表名词， ...人，物,"n.自夸,值得夸耀的事物;v.自夸,以有...而自豪"
185,booklet,let 表示 小,n.小册子
186,boot,ot 表名词， ...人,"n.<美>(长统)靴,靴子;v.导入"
187,booth,th 表名词，通常指抽象名词,"n.货摊,售货亭,棚"
188,boring,ing 表形容词， 正...的 ， 令人...的,n.钻(孔);adj.令人厌烦的
189,boundary,ary 表名词， 人，场所，物,"n.边界,分界线"
190,bowel,el 表名词， 人或物,"n.肠;adj.内部,同情心"
191,bracket,et 表示 小,"n.墙上凸出的托架,括弧,支架;v.括在一起"
192,breadth,th 表名词，通常指抽象名词,"n.宽度,(布的)幅宽,(船)幅"
193,breast,ast 表名词， ...人，物,"n.胸部,乳房,胸怀,心情;vt.以胸对着,对付"
194,brilliant,ant 表形容词， ...的,"adj.灿烂的,闪耀的,有才气的"
195,bruise,ise 表动词后缀，和 ize 相同，是 ize 的变体， ...化,"n.瘀伤,擦伤;v.打伤,撞伤"
196,brutal,al 表名词， 人，物，状态,"adj.残忍的,兽性的"
197,bucket,et 表示 小,"n.桶,一桶的量,[桶状物]铲斗"
198,budget,et 表示 小,"n.预算;vi.做预算,编入预算"
199,bullet,let 表示 小,n.子弹
200,bully,ly 表形容词，通常加在名词后。,"n.欺凌弱小者;vt.威吓,威逼"
201,burden,en 表动词， 变成,"n.担子,负担;v.负担"
202,bureaucracy,"acy 表名词, ...性质，状态","n.官僚,官僚作风,官僚机构"
203,burial,ial 表形容词， 有...的,n.埋葬
204,butcher,er 表动词， 反复做,"n.屠夫,屠户;vt.屠宰,屠杀"
205,butterfly,ly 表形容词，通常加在名词后。,"n.[动]蝴蝶,蝶泳"
206,cabbage,"age 名词后缀,表示 状态，总称","n.[植]甘蓝,卷心菜"
207,cabinet,et 表示 小,"n.(有抽屉或格子的)橱柜,<美>内阁;adj.<美>内阁的,小巧的"
208,cafeteria,"ia 表名词, 总称，状态",n.自助餐厅
209,calculate,ate 表形容词， 具有...的,"v.计算,考虑,计划,打算;v.<美>以为,认为"
210,calculator,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.计算机,计算器"
211,calendar,ar 表形容词， ...的,"n.日历,历法"
212,calorie,ie 表名词， 小东西或人,n.卡路里
213,canal,al 表名词， 人，物，状态,"n.运河,小道,导管,槽,沟渠;vt.开运河"
214,cancel,el 表名词， 人或物,"vt.取消,删去"
215,cancer,er 表动词， 反复做,"n.癌,毒瘤"
216,candy,y 表名词，加在形容词或以r结尾的单词后。,"n.糖果,冰糖;v.蜜饯,糖煮(水果)"
217,cannon,on 表名词，指人、物和一些物理学上的名词,"n.大炮,加农炮;v.炮轰"
218,capable,able 表形容词， 可...的，能...,"adj.有能力的,能干的,有可能的,可以...的"
219,capacity,ity 表名词，指具备某种性质,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
220,capsule,ule 表名词， 小...,"n.(植物)蒴果,胶囊,瓶帽,太空舱"
221,caption,on 表名词，指人、物和一些物理学上的名词,"n.标题，说明,字幕;vt.加上标题,加上说明"
222,capture,ture ture在s结尾的词根后变成sure,"n.捕获,战利品;vt.俘获,捕获,夺取"
223,carbon,on 表名词，指人、物和一些物理学上的名词,"n.[化]碳(元素符号C),(一张)复写纸"
224,cardinal,al 表形容词， ...的,"n.枢机主教,红衣主教;adj.主要的,最重要的"
225,cargo,o 表名词，用于音乐术语,"n.船货,(车、船、飞机等运输的)货物"
226,carpet,et 表示 小,n.地毯
227,carrier,ier 表名词， 人或物,"n.运送者,邮递员,带菌者,(自行车等)行李架,搬运器,航空母舰;n.[电]载波（信号）"
228,carrot,ot 表名词， ...人,n.胡萝卜
229,cartoon,oon 表名词， 人或物,"n.(报刊上的)政治性漫画,讽刺画,卡通画,漫画(常有解说词);v.画漫画;n.卡通片,动画片"
230,cashier,ier 表名词， 人或物,"n.(商店等的)出纳员,(银行或公司的)司库"
231,cast,ast 表名词， ...人，物,"n.投掷,铸件,脱落物,一瞥,演员表;v.投,抛,投射,浇铸,计算,派(角色)"
232,casual,al 表名词， 人，物，状态,"adj.偶然的,不经意的,临时的"
233,casualty,ty 表名词，用在形容词后，把形容词变成名词,n.伤亡
234,category,ory 表名词，指场所等,"n.种类,别,[逻]范畴"
235,cater,er 表动词， 反复做,"vi.备办食物,满足(需要),投合"
236,cathedral,al 表形容词， ...的,n.大教堂
237,caution,ion 表名词， 动作或状态 分为 sion和tion两种,"n.小心,谨慎,警告;vt.警告"
238,cautious,ous 表形容词，通常放在一个完整的单词后，表示 ...的,"adj.谨慎的,小心的"
239,cavity,ty 表名词，用在形容词后，把形容词变成名词,"n.洞,空穴,[解剖]腔"
240,cellar,ar 表形容词， ...的,"n.地窖,地下室,酒窖,藏酒量"
241,cemetery,ery 表名词， 场所，地点,"n.墓地,公墓"
242,center,er 表动词， 反复做,"n.中心,中央,中心点,中锋;adj.中央的,位于正中的;vt.集中,使聚集在一点,定中心,居中;vi.居中,有中心,被置于中心"
243,ceramic,"ic 表形容词, ....的 ，有时作tic",adj.陶器的;n.陶瓷制品
244,cereal,al 表形容词， ...的,"n.谷类食品,谷类"
245,ceremony,y 表名词，加在形容词或以r结尾的单词后。,"n.典礼,仪式,礼节,报幕员"
246,certainty,y 表名词， 人或小东西 常带有嬉谑性和爱称。,"n.确定,确实的事情"
247,certify,"fy 表动词, ...化，成为... ，更多时候作 ify","v.证明,保证"
248,chamber,er 表动词， 反复做,"n.室,房间,议院,会所,(枪)膛"
249,champion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.冠军,拥护者,战士;vt.拥护,支持"
250,channel,el 表名词， 人或物,"n.海峡,水道,沟,路线;vt.引导,开导,形成河道,信道,频道"
251,chapel,el 表名词， 人或物,"n.小礼拜堂,礼拜"
252,chapter,er 表动词， 反复做,n.(书籍中)章节
253,character,er 表名词， 物品，机器,"n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物;vt.写,刻,印,使具有特征"
254,characterize,ize 构成一些动词,"vt.表现...的特色,刻画的...性格"
255,charity,ity 表名词，指具备某种性质,"n.慈善,施舍,慈善团体"
256,charter,er 表动词， 反复做,"vt.租,包(船、车等);n.宪章"
257,cheerful,"ful 表形容词, 有...的","adj.愉快的,高兴的"
258,chemical,al 表名词， 人，物，状态,"adj.化学的;n.化学制品,化学药品;n.化学药品"
259,cherish,ish 表形容词， 象...一样，有的... ，通常放在一具体名词后,"vt.珍爱,怀抱(希望等)"
260,childhood,"hood 表名词, 时期，性质等",n.孩童时期
261,Christ,ist 表名词， 表示信仰者，专家或从事人,n.[基督教]救世主(特指耶稣基督)
262,Christian,an 表名词和形容词， ...地方，...人,"n.基督徒,信徒;adj.基督教的,信基督教的"
263,chronic,ic 表名词， 某种药,"adj.慢性的,延续很长的"
264,cigar,ar 表形容词， ...的,n.雪茄
265,circuit,it 表名词，通常是抽象名词,"n.电路,一圈,周游,巡回"
266,circular,ar 表形容词， ...的,"adj.圆形的,循环的;n.函件,通知"
267,circulation,ation 表名词， 行为，过程，结果,"n.循环,流通,发行额"
268,circumstance,ance 表名词， 性质，状况,"n.环境,详情,境况"
269,cite,ite 表形容词， 有...的,"vt.引用,引证,提名表扬"
270,civilian,ian 表名词， 某种人,"n.平民,公务员,文官;adj.民间的,民用的"
271,civilization,ion 表名词， 动作或状态 分为 sion和tion两种,"n.文明,文化,文明社会,文明,一个著名游戏的名称"
272,civilize,ize 构成一些动词,"vt.使开化,使文明,教化"
273,clan,an 表名词和形容词， ...地方，...人,"n.部落,氏族,宗族,党派"
274,clarify,"fy 表动词, ...化，成为... ，更多时候作 ify","v.澄清,阐明"
275,clarity,ty 表名词，用在形容词后，把形容词变成名词,"n.清楚,透明"
276,classic,"ic 表形容词, ....的 ，有时作tic","n.杰作,名著;adj.第一流的"
277,classical,al 表形容词， ...的,"adj.古典的,正统派的,古典文学的"
278,classify,"fy 表动词, ...化，成为... ，更多时候作 ify","vt.分类,分等"
279,clay,y 表名词，加在形容词或以r结尾的单词后。,"n.粘土,泥土,肉体,人体,似黏土的东西,陶土制的烟斗"
280,client,ent 表形容词， ...的,"n.[计]顾客,客户,委托人"
281,climate,ate 表形容词， 具有...的,"n.气候,风土,思潮"
282,cling,ling 表名词， 小东西或某种人,"vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)"
283,clockwise,wise 有些单词，wise可以换成ways，意义不变,adj.顺时针方向的;adv.顺时针方向地
284,closet,et 表示 小,"n.壁橱,储藏室,厕所;adj.关起门来的;vt.关入私室密谈"
285,clumsy,y 表名词，加在形容词或以r结尾的单词后。,adj.笨拙的
286,coalition,ition 表名词， 行为过程，状态,"n.合并,接合,联合"
287,cocaine,ine 表形容词， ...的,"n.古柯碱,可卡因"
288,cognitive,itive 表形容词， ...的,"adj.认知的,认识的,有感知的"
289,coherent,ent 表形容词， ...的,"adj.粘在一起的,一致的,连贯的"
290,coincidence,ence 表名词， 性质，状态,"n.一致,相合,同时发生或同时存在(尤指偶然)的事"
291,collaboration,ion 表名词， 动作或状态 分为 sion和tion两种,"n.协作,通敌"
292,collection,ion 表名词， 动作或状态 分为 sion和tion两种,"n.收藏,征收,搜集品,捐款"
293,collective,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive",adj.集体的;n.集体
294,collision,ion 表名词， 动作或状态 分为 sion和tion两种,"n.碰撞,冲突"
295,colonial,al 表名词， 人，物，状态,"adj.殖民的,殖民地的n.殖民地居民"
296,colony,y 表名词，加在形容词或以r结尾的单词后。,"n.殖民地,侨民,(聚居的)一群同业,一批同行,(生物)群体"
297,combination,ation 表名词， 行为，过程，结果,"n.结合,联合,合并,化合,化合物"
298,combine,ine 表形容词， ...的,"v.(使)联合,(使)结合;n.联合企业,联合收割机;n.联合收割机"
299,comedy,y 表名词，加在形容词或以r结尾的单词后。,"n.喜剧,喜剧性的事情"
300,comic,"ic 表形容词, ....的 ，有时作tic","n.滑稽演员;adj.滑稽的,喜剧的"
301,commander,er 表动词， 反复做,"n.司令官,指挥官"
302,commence,ence 表名词， 性质，状态,"v.开始,着手"
303,comment,ment 表名词， 行为或结果,"n.注释,评论,意见;vi.注释,评论"
304,commentary,ary 表名词， 人，场所，物,"n.注释,解说词"
305,commercial,ial 表形容词， 有...的,"adj.商业的,贸易的"
306,commission,ion 表名词， 动作或状态 分为 sion和tion两种,"n.委任,委托,代办(权),代理(权),犯(罪),佣金;vt.委任,任命,委托,委托制作,使服役"
307,commit,it 表名词，通常是抽象名词,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
308,committee,ee 表名词， 被动或主动的人,n.委员会
309,commodity,y 表名词，加在形容词或以r结尾的单词后。,n.日用品
310,commonwealth,th 表名词，通常指抽象名词,"n.国民整体,共和国,联邦"
311,communication,ation 表名词， 行为，过程，结果,"n.传达,信息,交通,通讯"
312,community,ity 表名词，指具备某种性质,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
313,companion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.同伴,共事者"
314,comparative,ative 表形容词， 有...倾向(性质)的,"adj.比较的,相当的"
315,comparison,on 表名词，指人、物和一些物理学上的名词,"n.比较,对照,比喻,比较关系"
316,compatible,ible 形容词 能...的,"adj.谐调的,一致的,兼容的"
317,compel,el 表名词， 人或物,"vt.强迫,迫使"
318,competence,ence 表名词， 性质，状态,n.能力
319,competent,ent 表形容词， ...的,"adj.有能力的,胜任的"
320,competition,on 表名词，指人、物和一些物理学上的名词,"n.竞争,竞赛"
321,compile,ile 表形容词， ...的,"vt.编译,编辑,汇编"
322,complain,ain 表名词， ...人,"v.抱怨,悲叹,控诉"
323,complement,ment 表名词， 行为或结果,"n.补足物,[文法]补语,[数]余角;vt.补助,补足"
324,complexion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.面色,肤色,情况,局面"
325,complication,ation 表名词， 行为，过程，结果,"n.复杂化,(使复杂的)因素;n.[医]并发症"
326,compliment,ment 表名词， 行为或结果,"n.称赞,恭维,致意,问候,道贺;vt.称赞,褒扬,恭维"
327,comply,ly 表形容词，通常加在名词后。,"vi.顺从,答应,遵守"
328,compose,ose 表形容词， 多...的,"v.组成,写作,排字,(使)安定,调解"
