,单词,前缀,单词释义
22,accuracy,ac 加在同辅音字母词根前，表示 一再 等加强意,"n.精确性,正确度"
23,accuse,ac 加在同辅音字母词根前，表示 一再 等加强意,"vt.控告,谴责,非难"
24,ache,ac 加在同辅音字母词根前，表示 一再 等加强意,"n.疼痛;vi.觉得疼痛,渴望"
25,acid,ac 加在同辅音字母词根前，表示 一再 等加强意,"n.[化]酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的"
26,acquaint,ac 加在同辅音字母词根前，表示 一再 等加强意,"vt.使熟知,通知"
27,acquire,ac 加在同辅音字母词根前，表示 一再 等加强意,"vt.获得,学到"
28,acre,ac 加在同辅音字母词根前，表示 一再 等加强意,"n.英亩,地产,大片田地"
29,activate,ac 加在同辅音字母词根前，表示 一再 等加强意,"vt.刺激,使活动;vi.有活力"
30,activity,ac 加在同辅音字母词根前，表示 一再 等加强意,"n.活跃,活动性,行动,行为,[核]放射性"
31,adapt,ad 加在同辅音字母词根前，表示 一再 等加强意,"vt.使适应,改编"
32,addict,"ad 加在单词或词根前, 表示 做....., 加强......","vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
33,additional,ad 加在同辅音字母词根前，表示 一再 等加强意,"adj.另外的,附加的,额外的"
34,adequate,"ad 加在单词或词根前, 表示 做....., 加强......","adj.适当的,足够的"
35,adjacent,ad 加在同辅音字母词根前，表示 一再 等加强意,"adj.邻近的,接近的"
36,adjoin,"ad 加在单词或词根前, 表示 做....., 加强......","v.邻接,毗连"
37,administration,ad 加在同辅音字母词根前，表示 一再 等加强意,"n.管理,经营,行政部门"
38,admire,"ad 加在单词或词根前, 表示 做....., 加强......","v.赞美,钦佩,羡慕"
39,admit,ad 加在同辅音字母词根前，表示 一再 等加强意,"v.容许,承认,接纳"
40,adolescent,"ad 加在单词或词根前, 表示 做....., 加强......","adj.青春期的,青春的;n.青少年"
41,adore,ad 加在同辅音字母词根前，表示 一再 等加强意,"v.崇拜,爱慕,(口语)喜爱"
42,adult,"ad 加在单词或词根前, 表示 做....., 加强......","n.成人,成年人;adj.成人的,成熟的"
43,advantage,ad 加在同辅音字母词根前，表示 一再 等加强意,"n.优势,有利条件,利益"
44,adventure,"ad 加在单词或词根前, 表示 做....., 加强......","n.冒险,冒险的经历;v.冒险"
45,advertise,ad 加在同辅音字母词根前，表示 一再 等加强意,"v.做广告,登广告"
46,advertisement,"ad 加在单词或词根前, 表示 做....., 加强......","n.广告,做广告"
47,advocate,ad 加在同辅音字母词根前，表示 一再 等加强意,"n.提倡者,鼓吹者;vt.提倡,鼓吹"
48,affect,af 加在同辅音字母词根前，表示 一再 等加强意,"vt.影响,感动,侵袭,假装"
49,affiliate,af 加在同辅音字母词根前，表示 一再 等加强意,"v.(使...)加入,接受为会员"
50,afflict,af 加在同辅音字母词根前，表示 一再 等加强意,"vt.使痛苦,折磨"
51,afterward,af 加在同辅音字母词根前，表示 一再 等加强意,"adv.然后,后来"
52,agency,ag 加在同辅音字母词根前，表示 一再 等加强意,"n.代理处,行销处,代理,中介"
53,agent,ag 加在同辅音字母词根前，表示 一再 等加强意,n.代理(商)
54,aggregate,ag 加在同辅音字母词根前，表示 一再 等加强意,"n.合计,总计,集合体;adj.合计的,集合的,聚合的;v.聚集,集合,合计"
55,agony,ag 加在同辅音字母词根前，表示 一再 等加强意,"n.苦恼,极大的痛苦"
56,agriculture,ag 加在同辅音字母词根前，表示 一再 等加强意,"n.农业,农艺,农学"
57,analogy,ana 表示 错误，在旁边，分开,"n.类似,类推"
58,analyse,an 加在同辅音字母词根前，表示 一再 等加强意,"n.&v.分析,分解"
59,analysis,"an 在词根前, 表示 不，无","n.分析,分解"
60,anchor,an 加在同辅音字母词根前，表示 一再 等加强意,"n.锚;v.抛锚,锚定"
61,ancient,"an 在词根前, 表示 不，无","adj.远古的,旧的"
62,ankle,an 加在同辅音字母词根前，表示 一再 等加强意,n.[解]踝
63,anniversary,"an 在词根前, 表示 不，无",n.周年纪念
64,annual,an 加在同辅音字母词根前，表示 一再 等加强意,"n.一年生植物,年刊,年鉴;adj.一年一次的,每年的,一年生的"
65,anonymous,"an 在词根前, 表示 不，无",adj.匿名的
66,antique,anti 表示 反对，相反,"n.古物,古董;adj.古时的,过时的"
67,anxiety,an 加在同辅音字母词根前，表示 一再 等加强意,"n.忧虑,焦急,渴望,热望"
68,anxious,"an 在词根前, 表示 不，无","adj.观念的,担忧的,渴望的,盼望的"
69,anyway,an 加在同辅音字母词根前，表示 一再 等加强意,"adv.无论如何,总之"
70,apartment,ap 加在同辅音字母词根前，表示 一再 等加强意,"n.<美>公寓住宅,单元住宅,房间"
71,apology,apo 表示 离开，远离,"n.(为某种思想,宗教,哲学等)辩解,道歉"
72,apparatus,ap 加在同辅音字母词根前，表示 一再 等加强意,"n.器械,设备,仪器"
73,appeal,ap 加在同辅音字母词根前，表示 一再 等加强意,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
74,appease,ap 加在同辅音字母词根前，表示 一再 等加强意,"vt.平息,安抚,缓和,使满足"
75,appetite,ap 加在同辅音字母词根前，表示 一再 等加强意,"n.食欲,胃口,欲望,爱好"
76,applause,ap 加在同辅音字母词根前，表示 一再 等加强意,"n.鼓掌欢迎,欢呼"
77,applicable,ap 加在同辅音字母词根前，表示 一再 等加强意,"adj.可适用的,可应用的"
78,application,ap 加在同辅音字母词根前，表示 一再 等加强意,"n.请求,申请,申请表,应用,运用,施用,敷用,应用,应用程序,应用软件"
79,appoint,ap 加在同辅音字母词根前，表示 一再 等加强意,"vt.约定,指定(时间,地点),任命,委任"
80,appraisal,ap 加在同辅音字母词根前，表示 一再 等加强意,"n.评价,估价(尤指估价财产,以便征税),鉴定"
81,approach,ap 加在同辅音字母词根前，表示 一再 等加强意,"n.接近,逼近,走进,方法,步骤,途径,通路;vt.接近,动手处理;vi.靠近"
82,approval,ap 加在同辅音字母词根前，表示 一再 等加强意,"n.赞成,承认,正式批准"
83,approximate,ap 加在同辅音字母词根前，表示 一再 等加强意,"adj.近似的,大约的;v.近似,接近,接近,约计"
84,arbitrary,ar 加在同辅音字母词根前，表示 一再 等加强意,"adj.任意的,武断的,独裁的,专断的"
85,architect,ar 加在同辅音字母词根前，表示 一再 等加强意,n.建筑师
86,arena,ar 加在同辅音字母词根前，表示 一再 等加强意,"n.竞技场,舞台"
87,argument,ar 加在同辅音字母词根前，表示 一再 等加强意,"n.争论,辩论,论据,论点,～(for,against),意见"
88,arithmetic,ar 加在同辅音字母词根前，表示 一再 等加强意,"n.算术,算法"
89,arouse,ar 加在同辅音字母词根前，表示 一再 等加强意,"vt.唤醒,唤起,鼓励,引起;vi.睡醒"
90,arrangement,ar 加在同辅音字母词根前，表示 一再 等加强意,"n.排列,安排"
91,arrest,ar 加在同辅音字母词根前，表示 一再 等加强意,"vt.逮捕,拘留,吸引;n.逮捕,拘留"
92,arrogant,ar 加在同辅音字母词根前，表示 一再 等加强意,"adj.傲慢的,自大的"
93,artery,ar 加在同辅音字母词根前，表示 一再 等加强意,"n.动脉,要道"
94,artificial,ar 加在同辅音字母词根前，表示 一再 等加强意,"adj.人造的,假的,非原产地的"
95,artistic,ar 加在同辅音字母词根前，表示 一再 等加强意,"adj.艺术的,有美感的,风雅的"
96,ascend,as 加在同辅音字母词根前，表示 一再 等加强意,"v.攀登,上升"
97,ascribe,as 加在同辅音字母词根前，表示 一再 等加强意,"vt.归因于,归咎于"
98,ashamed,as 加在同辅音字母词根前，表示 一再 等加强意,"adj.惭愧的,羞耻的"
99,aspect,as 加在同辅音字母词根前，表示 一再 等加强意,"n.样子,外表,面貌,(问题等的)方面"
100,assassination,as 加在同辅音字母词根前，表示 一再 等加强意,n.暗杀
101,assemble,as 加在同辅音字母词根前，表示 一再 等加强意,"vt.集合,聚集,装配;vi.集合"
102,assert,as 加在同辅音字母词根前，表示 一再 等加强意,"v.断言,声称"
103,asset,as 加在同辅音字母词根前，表示 一再 等加强意,"n.资产,有用的东西"
104,assignment,as 加在同辅音字母词根前，表示 一再 等加强意,"n.分配,委派,任务,(课外)作业"
105,assist,as 加在同辅音字母词根前，表示 一再 等加强意,"v.援助,帮助"
106,assistant,as 加在同辅音字母词根前，表示 一再 等加强意,"n.助手,助教;adj.辅助的,助理的"
107,association,as 加在同辅音字母词根前，表示 一再 等加强意,"n.协会,联合,结交,联想"
108,assumption,as 加在同辅音字母词根前，表示 一再 等加强意,"n.假定,设想,担任,承当,假装,作态"
109,assure,as 加在同辅音字母词根前，表示 一再 等加强意,"vt.断然地说,确告,保证,担保"
110,athlete,at 加在同辅音字母词根前，表示 一再 等加强意,"n.运动员,运动选手"
111,atmosphere,at 加在同辅音字母词根前，表示 一再 等加强意,"n.大气,空气,气氛"
112,attach,at 加在同辅音字母词根前，表示 一再 等加强意,"vt.缚上,系上,贴上;v.配属,隶属于"
113,attain,at 加在同辅音字母词根前，表示 一再 等加强意,"vt.达到,获得;v.达到"
114,attendant,at 加在同辅音字母词根前，表示 一再 等加强意,n.服务员
115,attorney,at 加在同辅音字母词根前，表示 一再 等加强意,"n.<美>律师,(业务或法律事务上的)代理人"
116,attraction,at 加在同辅音字母词根前，表示 一再 等加强意,"n.吸引,吸引力,吸引人的事物"
117,attribute,at 加在同辅音字母词根前，表示 一再 等加强意,"n.属性,品质,特征,加于,归结于"
118,auto,auto 表示 自动、自已,n.<美口>汽车
119,automobile,auto 表示 自动、自已,"n.<主美>汽车(=<英>motorcar,car)"
120,autonomy,auto 表示 自动、自已,n.自治
121,beam,be 构成动词，表示 使......成为,"n.梁,桁条,(光线的)束,柱,电波,横梁;v.播送"
122,bean,be 构成一些介词,"n.豆,豆形果实"
123,bearing,be 构成动词，表示 使......成为,"n.轴承,关系,方面,意义,方向,方位"
124,beast,be 构成一些介词,"n.兽,畜牲,人面兽心的人"
125,beggar,be 构成动词，表示 使......成为,n.乞丐
126,behalf,be 构成一些介词,"n.为,利益"
127,behavior,be 构成动词，表示 使......成为,"n.举止,行为"
128,being,be 构成一些介词,"n.存在,生命,人,本质;art.在,有,是"
129,belly,be 构成动词，表示 使......成为,"n.腹部,胃;vi.涨满"
130,beloved,be 构成一些介词,"adj.心爱的;n.所爱的人,爱人"
131,beneficial,"bene 表示 善, 好","adj.有益的,受益的,[法律]有使用权的;adj.有益的,得利的,[律]有使用权的"
132,benefit,be 构成动词，表示 使......成为,"n.利益,好处;vt.有益于,有助于;vi.受益"
133,besides,be 构成一些介词,adv.此外;prep.除...之外
134,betray,be 构成动词，表示 使......成为,"vt.出卖,背叛,泄露(秘密),露出...迹象"
135,bewilder,be 构成一些介词,"vt.使迷惑,使不知所措,使昏乱"
136,bibliography,"bi 表示 二个, 两","n.(有关一个题目或一个人的)书目,参考书目"
137,billion,"bi 表示 二个, 两",n.&adj.十亿(的)
138,biography,"bi 表示 二个, 两",n.传记
139,bizarre,"bi 表示 二个, 两","adj.奇异的(指态度,容貌,款式等)"
140,bypass,by 表示 在旁边，副的,"n.旁路;vt.设旁路,迂回"
141,catalog,cata 表示 向下，相反，离开,"n.目录,目录册;v.编目录"
142,catastrophe,cata 表示 向下，相反，离开,"n.大灾难,大祸"
143,circumstance,circum 表示 环绕，周围,"n.环境,详情,境况"
144,coach,co 表示 共同 ，通常放元音词根前,"n.四轮大马车,长途汽车,教练;v.训练,指导"
145,coarse,co 表示 共同 ，通常放元音词根前,"adj.粗糙的,粗鄙的"
146,cocktail,co 表示 共同 ，通常放元音词根前,"n.鸡尾酒,(第一道用杯盛的)开味食品;adj.鸡尾酒的"
147,coherent,co 表示 共同 ，通常放元音词根前,"adj.粘在一起的,一致的,连贯的"
148,coincide,co 表示 共同 ，通常放元音词根前,"vi.一致,符合"
149,collaboration,"col 在同辅音词根前, 表示 共同","n.协作,通敌"
150,collapse,co 表示 共同 ，通常放元音词根前,"n.倒塌,崩溃,失败,虚脱;vi.倒塌,崩溃,瓦解,失败,病倒"
151,collection,"col 在同辅音词根前, 表示 共同","n.收藏,征收,搜集品,捐款"
152,collective,co 表示 共同 ，通常放元音词根前,adj.集体的;n.集体
153,collision,"col 在同辅音词根前, 表示 共同","n.碰撞,冲突"
154,colonial,co 表示 共同 ，通常放元音词根前,"adj.殖民的,殖民地的n.殖民地居民"
155,column,"col 在同辅音词根前, 表示 共同","n.圆柱,柱壮物,专栏,纵队"
156,comb,com 表示 共同,"n.梳子,梳,鸡冠,蜂巢;vi.梳(发),搜索"
157,combat,co 表示 共同 ，通常放元音词根前,"n.战斗,格斗;v.战斗,搏斗,抗击"
158,combine,com 表示 共同,"v.(使)联合,(使)结合;n.联合企业,联合收割机;n.联合收割机"
159,comedy,co 表示 共同 ，通常放元音词根前,"n.喜剧,喜剧性的事情"
160,comic,com 表示 共同,"n.滑稽演员;adj.滑稽的,喜剧的"
161,command,co 表示 共同 ，通常放元音词根前,"n.命令,掌握,司令部;v.命令,指挥,克制,支配,博得,俯临"
162,commemorate,com 表示 共同,vt.纪念
163,commence,co 表示 共同 ，通常放元音词根前,"v.开始,着手"
164,comment,com 表示 共同,"n.注释,评论,意见;vi.注释,评论"
165,commentary,co 表示 共同 ，通常放元音词根前,"n.注释,解说词"
166,commercial,com 表示 共同,"adj.商业的,贸易的"
167,commission,co 表示 共同 ，通常放元音词根前,"n.委任,委托,代办(权),代理(权),犯(罪),佣金;vt.委任,任命,委托,委托制作,使服役"
168,commitment,com 表示 共同,"n.委托事项,许诺,承担义务"
169,committee,co 表示 共同 ，通常放元音词根前,n.委员会
170,commonplace,com 表示 共同,"n.平凡的事,平常话;adj.平凡的"
171,commonwealth,co 表示 共同 ，通常放元音词根前,"n.国民整体,共和国,联邦"
172,communication,com 表示 共同,"n.传达,信息,交通,通讯"
173,community,co 表示 共同 ，通常放元音词根前,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
174,compact,com 表示 共同,"adj.紧凑的,紧密的,简洁的;n.契约,合同,小粉盒"
175,companion,co 表示 共同 ，通常放元音词根前,"n.同伴,共事者"
176,comparative,com 表示 共同,"adj.比较的,相当的"
177,compare,co 表示 共同 ，通常放元音词根前,"v.比较,相比,比喻n.比较"
178,compartment,com 表示 共同,"n.间隔间,车厢"
179,compass,co 表示 共同 ，通常放元音词根前,"n.罗盘,指南针,圆规;v.包围"
180,compel,com 表示 共同,"vt.强迫,迫使"
181,compensate,co 表示 共同 ，通常放元音词根前,"v.偿还,补偿,付报酬"
182,competence,com 表示 共同,n.能力
183,competent,co 表示 共同 ，通常放元音词根前,"adj.有能力的,胜任的"
184,competitive,com 表示 共同,adj.竞争的
185,compile,co 表示 共同 ，通常放元音词根前,"vt.编译,编辑,汇编"
186,complaint,com 表示 共同,"n.诉苦,抱怨,牢骚,委屈,疾病"
187,complement,co 表示 共同 ，通常放元音词根前,"n.补足物,[文法]补语,[数]余角;vt.补助,补足"
188,complexion,com 表示 共同,"n.面色,肤色,情况,局面"
189,complicated,co 表示 共同 ，通常放元音词根前,"adj.复杂的,难解的"
190,compliment,com 表示 共同,"n.称赞,恭维,致意,问候,道贺;vt.称赞,褒扬,恭维"
191,comply,co 表示 共同 ，通常放元音词根前,"vi.顺从,答应,遵守"
192,compose,com 表示 共同,"v.组成,写作,排字,(使)安定,调解"
193,composite,co 表示 共同 ，通常放元音词根前,"adj.合成的,复合的;n.合成物"
194,comprehension,com 表示 共同,"n.理解,包含"
195,comprehensive,co 表示 共同 ，通常放元音词根前,"adj.全面的,广泛的,能充分理解的,包容的"
196,comprise,com 表示 共同,"v.包含,由...组成"
197,compromise,co 表示 共同 ，通常放元音词根前,"n.妥协,折衷;v.妥协,折衷,危及...的安全"
198,compute,com 表示 共同,"v.计算,估计,用计算机计算(或确定)"
199,conceal,con 表示 共同,"vt.隐藏,隐蔽,隐瞒;v.隐蔽"
200,concede,co 表示 共同 ，通常放元音词根前,"vt.勉强,承认,退让;vi.让步"
201,concentrate,con 表示 共同,"v.集中,浓缩"
202,concentration,co 表示 共同 ，通常放元音词根前,"n.集中,集合,专心,浓缩,浓度"
203,conception,con 表示 共同,"n.观念,概念"
204,concern,co 表示 共同 ，通常放元音词根前,"vt.涉及,关系到;n.(利害)关系,关心,关注,关注,所关心的是"
205,concession,con 表示 共同,n.让步
206,concise,co 表示 共同 ，通常放元音词根前,"adj.简明的,简练的"
207,conclusion,con 表示 共同,"n.结束,缔结,结论"
208,concrete,co 表示 共同 ，通常放元音词根前,"adj.具体的,有形的;n.混凝土;v.用混凝土修筑,浇混凝土,凝结"
209,condense,con 表示 共同,"v.(使)浓缩,精简"
210,condition,co 表示 共同 ，通常放元音词根前,"n.条件,情形,环境,社会地位;vt.以...为条件,使达到要求的情况"
211,conductor,con 表示 共同,"n.领导者,经理,指挥管弦乐队、合唱队的,(市内有轨电车或公共汽车)售票员,<美>列车长"
212,confer,co 表示 共同 ，通常放元音词根前,"vt.授予(称号、学位等),赠与,把...赠与,协议;v.协商,交换意见"
213,confess,con 表示 共同,"v.承认,坦白,忏悔"
214,confidence,co 表示 共同 ，通常放元音词根前,n.信心
215,confidential,con 表示 共同,"adj.秘密的,机密的"
216,configuration,co 表示 共同 ，通常放元音词根前,"n.构造,结构,配置,外形"
217,confirm,con 表示 共同,"vt.确定,批准,使巩固,使有效;v.确认,(基督教中)给...行按手礼"
218,conflict,co 表示 共同 ，通常放元音词根前,"n.斗争,冲突;vi.抵触,冲突"
219,confront,con 表示 共同,"vt.使面临,对抗"
220,confuse,co 表示 共同 ，通常放元音词根前,"vt.搞乱,使糊涂"
221,congratulate,con 表示 共同,"vt.祝贺,庆贺,恭喜"
222,congratulation,co 表示 共同 ，通常放元音词根前,"n.祝词,贺辞"
223,conjunction,con 表示 共同,"n.联合,关联,连接词"
224,connect,co 表示 共同 ，通常放元音词根前,"v.连接,联合,关连"
225,connexion,con 表示 共同,"n.联系,连结"
226,conquer,co 表示 共同 ，通常放元音词根前,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
227,conscience,con 表示 共同,"n.良心,道德心"
228,conscientious,co 表示 共同 ，通常放元音词根前,adj.尽责的
229,consecutive,con 表示 共同,"adj.连续的,联贯的"
230,consensus,co 表示 共同 ，通常放元音词根前,"n.一致同意,多数人的意见,舆论"
231,consequence,con 表示 共同,"n.结果,[逻]推理,推论,因果关系,重要的地位"
232,consequent,co 表示 共同 ，通常放元音词根前,"adj.作为结果的,随之发生的"
233,conservation,con 表示 共同,"n.保存,保持,守恒"
234,conservative,co 表示 共同 ，通常放元音词根前,"adj.保守的,守旧的;n.保守派"
235,considerable,con 表示 共同,"adj.相当大(或多)的,值得考虑的,相当可观的"
236,considerate,co 表示 共同 ，通常放元音词根前,adj.考虑周到的
237,consist,con 表示 共同,"vi.由...组成,在于,一致"
238,consistent,co 表示 共同 ，通常放元音词根前,"adj.一致的,调和的,坚固的,[数、统]相容的"
239,consolidate,con 表示 共同,v.巩固
240,conspicuous,co 表示 共同 ，通常放元音词根前,adj.显著的
241,constituent,con 表示 共同,"n.委托人,要素;adj.有选举权的；有宪法制定［修改］权的"
242,constitute,co 表示 共同 ，通常放元音词根前,"vt.制定(法律),建立(政府),组成,任命"
243,constrain,con 表示 共同,"vt.强迫,抑制,拘束"
244,construct,co 表示 共同 ，通常放元音词根前,"vt.建造,构造,创立"
245,consult,con 表示 共同,"v.商量,商议,请教,参考,考虑"
246,consultant,co 表示 共同 ，通常放元音词根前,"n.顾问,商议者,咨询者"
247,consumer,con 表示 共同,n.消费者
248,consumption,co 表示 共同 ，通常放元音词根前,"n.消费,消费量,肺病"
249,container,con 表示 共同,"n.容器(箱,盆,罐,壶,桶,坛子),集装箱"
250,contaminate,co 表示 共同 ，通常放元音词根前,v.污染
251,contemporary,con 表示 共同,"n.同时代的人;adj.当代的,同时代的"
252,contempt,co 表示 共同 ，通常放元音词根前,"n.轻视,轻蔑,耻辱,不尊敬,[律]藐视法庭(或国会)"
253,contention,con 表示 共同,"n.争夺,争论,争辩,论点"
254,contest,co 表示 共同 ，通常放元音词根前,"n.论争,竞赛;v.,争论,争辩,竞赛,争夺"
255,continuity,con 表示 共同,"n.连续性,连贯性"
256,continuous,co 表示 共同 ，通常放元音词根前,"adj.连续的,持续的"
257,contradict,contra 表示 反对，相反,"vt.同...矛盾,同...抵触"
258,contradiction,con 表示 共同,"n.反驳,矛盾"
259,contrary,co 表示 共同 ，通常放元音词根前,"adj.相反的,逆的,<口语>执拗;n.反面;adv.相反地"
260,contribute,con 表示 共同,"v.捐助,捐献,贡献,投稿"
261,contribution,co 表示 共同 ，通常放元音词根前,"n.捐献,贡献,投稿"
262,controversial,con 表示 共同,"adj.争论的,争议的"
263,controversy,co 表示 共同 ，通常放元音词根前,"n.论争,辩论,论战"
264,convenience,con 表示 共同,"n.便利,方便,有益,有用的,方便的用具、机械、安排等"
265,convention,co 表示 共同 ，通常放元音词根前,"n.大会,协定,习俗,惯例"
266,converge,con 表示 共同,"v.聚合,集中于一点;vt.会聚"
267,conversely,co 表示 共同 ，通常放元音词根前,"adv.倒地,逆地"
268,convert,con 表示 共同,"n.皈依者;vt.使转变,转换...,使...改变信仰"
269,convey,co 表示 共同 ，通常放元音词根前,"vt.搬运,传达,转让"
270,conviction,con 表示 共同,"n.深信,确信,定罪,宣告有罪"
271,convince,co 表示 共同 ，通常放元音词根前,"vt.使确信,使信服"
272,cooperative,co 表示 共同 ，通常放元音词根前,"adj.合作的,协力的"
273,cop,co 表示 共同 ，通常放元音词根前,"n.警官,巡警,[纺]管纱;vt.抓住"
274,copper,co 表示 共同 ，通常放元音词根前,"n.铜,警察"
275,cord,"cor 在同辅音词根前, 表示 共同","n.绳索,束缚"
276,cordial,co 表示 共同 ，通常放元音词根前,"n.兴奋剂,兴奋性饮料;adj.热忱的,诚恳的,兴奋的"
277,cork,"cor 在同辅音词根前, 表示 共同","n.软木塞,软木,(用塞子)塞住"
278,corporate,co 表示 共同 ，通常放元音词根前,"adj.社团的,法人的,共同的,全体的"
279,corps,"cor 在同辅音词根前, 表示 共同","n.军团,兵队,团,兵种,技术兵种,特殊兵种,(德国大学的)学生联合会"
280,corpse,co 表示 共同 ，通常放元音词根前,n.尸体
281,correspond,"cor 在同辅音词根前, 表示 共同","vi.符合,协调,通信,相当,相应"
282,correspondence,co 表示 共同 ，通常放元音词根前,"n.相应,通信,信件"
283,corresponding,"cor 在同辅音词根前, 表示 共同","adj.相应的,通讯的"
284,corridor,co 表示 共同 ，通常放元音词根前,n.走廊
285,corrupt,"cor 在同辅音词根前, 表示 共同","adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的;vt.使腐烂,腐蚀,使恶化;vi.腐烂,堕落"
286,costly,co 表示 共同 ，通常放元音词根前,"adj.昂贵的,贵重的"
287,council,co 表示 共同 ，通常放元音词根前,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
288,counter,counter 表示 反对，相反,"n.计算器,计数器,计算者,柜台,筹码;adv.prep.相反地"
289,counterpart,co 表示 共同 ，通常放元音词根前,"n.副本,极相似的人或物,配对物"
290,coupon,co 表示 共同 ，通常放元音词根前,"n.息票,商家的优待券"
291,courtesy,co 表示 共同 ，通常放元音词根前,"n.谦恭,允许,礼貌"
292,coverage,co 表示 共同 ，通常放元音词根前,n.覆盖
293,cozy,co 表示 共同 ，通常放元音词根前,"adj.舒适的,安逸的,惬意的"
294,deadline,de 表示 去掉，变坏，离开，变慢，向下 等,n.最终期限
295,deadly,de 表示 使....成为， 加强 等,"adj.致命的,势不两立的,死一般的,极度的,必定的"
296,dean,de 表示 去掉，变坏，离开，变慢，向下 等,"n.(大学)院长,主持牧师,(基督教)教长"
297,debate,de 表示 使....成为， 加强 等,"v.争论,辩论;n.争论,辩论"
298,decade,deca 表示 十,"n.十年,十"
299,decay,de 表示 去掉，变坏，离开，变慢，向下 等,"vi.&n.腐朽,腐烂,衰减,衰退;v.衰落"
300,deceive,de 表示 使....成为， 加强 等,"v.欺骗,行骗"
301,decimal,deci 表示 十分之一,"adj.十进的,小数的,以十为基础的,十进制;n.小数"
302,decisive,de 表示 去掉，变坏，离开，变慢，向下 等,adj.决定性的
303,deck,de 表示 使....成为， 加强 等,"n.甲板,舰板,覆盖物,一副(纸牌);vt.装饰,修饰,打扮,装甲板"
304,decline,de 表示 去掉，变坏，离开，变慢，向下 等,"vi.下倾,下降,下垂;v.拒绝,衰落;n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
305,decorate,de 表示 使....成为， 加强 等,"v.装饰,为...做室内装修"
306,decree,de 表示 去掉，变坏，离开，变慢，向下 等,"n.法令,政令,教令,天命,判决;v.颁布"
307,dedicate,de 表示 使....成为， 加强 等,"vt.献(身),致力,题献(一部著作给某人)"
308,deduct,de 表示 去掉，变坏，离开，变慢，向下 等,"vt.扣除,演绎"
309,deem,de 表示 使....成为， 加强 等,"v.认为,相信"
310,defeat,de 表示 去掉，变坏，离开，变慢，向下 等,"n.击败,战胜,失败;vt.击败,战胜,使失败,挫折;v.击败"
311,defect,de 表示 使....成为， 加强 等,"n.过失,缺点"
312,defiance,de 表示 去掉，变坏，离开，变慢，向下 等,"n.挑战,蔑视,挑衅"
313,deficiency,de 表示 使....成为， 加强 等,"n.缺乏,不足"
314,define,de 表示 去掉，变坏，离开，变慢，向下 等,"vt.定义,详细说明"
315,definite,de 表示 使....成为， 加强 等,"adj.明确的,一定的"
